id,question,answer,explanation
1,１４世紀にヨーロッパでまん延し、多くの死者を出した病気とは何か。,ペスト/黒死病,
2,十字軍の失敗やペストのまん延などで、教会の力が弱まり、イタリアを中心に広まった人間を中心に置いた、古代ローマやギリシャの文化や風潮を何というか。,ルネサンス/文芸復興,
3,ルネサンス期に活動した、『モナリザ』や『最後の晩餐』の作者は誰か。,レオナルドダビンチ/レオナルドダヴィンチ,
4,ルネサンス期に活動した、『ダビデ像』や『最後の審判』の作者は誰か。,ミケランジェロ,
5,ルネサンス期に活動した、『ギリシャの学堂』の作者は誰か。,ラファエロ,
6,ルネサンス期に活動した、『春』という絵画の作者は誰か。,ボッティチェリ,
7,天文学の研究から、天動説の矛盾を発見し、地動説を唱えた学者は誰か。,ガリレイ/ガリレオ・ガリレイ/ガリレオガリレイ,
8,ガリレイが唱えた、太陽を中心に天体が公転しているという考えを何というか。,地動説,
9,地球上の物体には、等しく重力が働くという考え（万有引力の法則）唱えた学者は誰か。,ニュートン,
10,ニュートンが唱えた、地球上の物体には等しく重力が働くという考え方を何というか。,万有引力の法則,
11,１５世紀ごろ、中国からヨーロッパに伝わり、後の大航海時代のきっかけになった道具とは何か。,羅針盤,
12,羅針盤の改良と世界地図の作成で、遠洋航海が進んだ時代を何というか。,大航海時代,
13,大航海時代に、喜望峰を通りインドへの航路を発見した人物とは誰か。,バスコダガマ/バスコ・ダ・ガマ,
14,１５世紀末、大西洋を横断し、新大陸を発見した人物とは誰か。,コロンブス,
15,１６世紀、船団を率いて、その一行が世界一周を達成した人物とは誰か。,マゼラン,
16,コロンブスが、大西洋を横断し到達した場所とはどこか。,西インド諸島,
17,バスコダガマが、インド航路を発見する際に、通過したアフリカ大陸最南端を何というか。,喜望峰,
18,ヨーロッパ人が、アジアへの航海で富を得るために手に入れようと考えたものとは何か。,香辛料,
19,ペルーのアンデス山脈の山中にある、南アメリカのインカ帝国の遺跡とは何か。,マチュピチュ/マチュピチュ遺跡,
20,新大陸の発見以降、植民地化を進めた国は、ポルトガルとどこか。,スペイン,
21,新大陸の発見以降、植民地化を進めた国は、スペインとどこか。,ポルトガル,
22,南アメリカに進出した国々が開いた、大規模農園を何というか。,プランテーション,
23,南アメリカ大陸での労働力としてアフリカから連れてこられた人々を何というか。,奴隷/黒人奴隷,
24,南アメリカに奴隷として連れてこられた人々はどこから連れてこられたか。,アフリカ大陸,
25,１６世紀末、スペインから独立し、ヨーロッパの経済の中心となった国とはどこか。,オランダ,
26,１７世紀初め、オランダやイギリスがアジア地域に作ったアジア進出の拠点を何というか。,東インド会社,
27,１６世紀、海上の支配力を強め「日のしずむことのない帝国」と呼ばれた国はどこか。,スペイン,
28,１６世紀、その海上での支配力からスペインは、何と呼ばれたか。,日のしずむことのない帝国,
29,ヨーロッパ人の侵略により滅ぼされたメキシコ周辺に存在した国とは何か。,アステカ王国,
30,ヨーロッパ人の侵略により滅ぼされたアンデス周辺に存在した国とは何か。,インカ帝国,
31,１６世紀財政難に苦しむ教会が、販売した贖宥状を何というか。,免罪符,
32,１６世紀、教会の免罪符の販売を批判したドイツの神学者とは誰か。,ルター,
33,１６世紀、教会の免罪符の販売を批判したスイスの神学者とは誰か。,カルバン,
34,教会の免罪符の販売を批判した神学者らが、カトリック教会から抜けて新たに開いた宗派を何というか。,プロテスタント,
35,免罪符の販売から発生した、キリスト教の宗派分裂のできごとを何というか。,宗教改革,
36,カトリックがプロテスタントの誕生により、信者の確保のため海外へと布教をすすめようと組織されたものは何か。,イエズス会,
37,イエズス会の宣教師で、アジアでの布教をすすめ日本も訪れた人物とは誰か。,ザビエル/フランシスコザビエル/フランシスコ・ザビエル,
38,イエズス会を結成し、海外へと布教に出た人々を何というか。,宣教師,
39,１５４３年、ポルトガル人を乗せた中国船が漂着した場所とはどこか。,種子島,
40,１５４３年、種子島に漂着し、鉄砲を伝えたのは何人か。,ポルトガル人,
41,１５４３年に種子島に漂着したポルトガル人によって伝えられたものは何か。,鉄砲/火縄銃,
42,鉄砲の伝来後、その量産化が進められた大阪の都市とはどこか。,堺,
43,鉄砲の伝来後、その量産化が進められた滋賀の都市とはどこか。,国友,
44,キリスト教が日本に広まり、信者になった人々を何と呼んだか。,キリシタン,
45,貿易と布教のために日本を訪れるスペインやポルトガルとの貿易を何というか。,南蛮貿易,
46,南蛮貿易を有利に進めるためやキリスト教への信仰心からキリスト教信者になった大名を何というか。,キリシタン大名,
47,肥前の領主で、長崎をイエズス会に寄進したのは誰か。,大村氏/大村純忠,
48,１５８２年、大友宗麟らによりローマへと派遣された４人の少年を何というか。,天正遣欧少年使節/天正遣欧使節,
49,南蛮貿易で日本からの輸出品の中心になったものは何か。,銀,
50,大航海時代を中心に、ヨーロッパ・アフリカ大陸・南アメリカの間で行われた貿易を何というか。,大西洋の三角貿易/三角貿易,
51,１６世紀、尾張一国から天下布武をかかげて勢力を拡大した人物とは誰か。,織田信長,
52,１５６０年に桶狭間で織田勢によって倒された大名とは誰か。,今川義元,
53,１５６０年に織田勢が今川勢を破った戦いとは何か。,桶狭間の戦い,
54,一時期、信長を頼るものの１５７３年に追放された室町幕府の１５代将軍とは誰か。,足利義昭,
55,１５７５年に、織田・徳川連合軍が武田氏を破った戦いとは何か。,長篠の戦い,
56,１５７５年に、織田・徳川連合軍によって倒された人物は誰か。,武田勝頼,
57,１５７７年に、勢力を拡大した織田信長によって琵琶湖湖畔に建設された城とは何か。,安土城,
58,安土城下など信長の支配権で行われた自由な売買を認めた経済政策を何というか。,楽市楽座/楽市・楽座,
59,信長との対立により、焼き払われた滋賀県の寺院とはどこか。,延暦寺/比叡山延暦寺,
60,信長に対抗する、信者が各地で蜂起した宗教とは何か。,一向宗/浄土真宗,
61,浄土真宗の信者らによって各地で引き起こされた一揆を何というか。,一向一揆,
62,１５８２年、本能寺で信長を討った人物とは誰か。,明智光秀,
63,１５８２年に、信長が明智光秀によって討たれたできごとを何というか。,本能寺の変,
64,１５８２年に、信長が明智光秀によって討たれた場所とはどこか。,本能寺,
65,織田信長の死後、その後継ぎ争いに勝利した人物とは誰か。,羽柴秀吉/豊臣秀吉,
66,勢力を拡大した秀吉が天皇により任命された官職とは何か。,関白,
67,秀吉が行った、物差しやマスの単位を統一し、全国の田畑の広さや良し悪しを調べて年貢を決めた政策を何というか。,太閤検地,
68,秀吉が検地をおこなったのち、土地の所有者や石高を記させた帳簿を何というか。,検地帳,
69,検地をおこない、その際に記された各土地の収穫高を表す単位を何というか。,石高,
70,大仏の建立を理由に、百姓や寺社から武器となるものを取り上げた政策を何というか。,刀狩/刀狩令,
71,検地や刀狩を行うことで武士と百姓の立場を明確に分けたことを何というか。,兵農分離,
72,キリスト教の広まりに対して、宣教師の国外追放を命じた命令を何というか。,伴天連追放令/バテレン追放令,
73,室町時代後期から江戸時代にかけて、信長や秀吉が中心になった時代を何というか。,安土桃山時代,
74,一向一揆に勝利したのち、本拠地である石山本願寺後に秀吉が建設した本拠地を何というか。,大阪城,
75,九州の島津氏を破った秀吉に最後まで抵抗した関東の大名とは誰か。,北条氏/北条氏政,
76,秀吉の朝鮮侵略の際に日本に連れてこられた朝鮮の陶工たちによって広められた器を何というか。,陶磁器,
77,１５９２年、明の征服を目指して、大軍を朝鮮に派遣した出来事を何というか。,文禄の役,
78,明との講和が成立せず、１５９８年に再び始まった戦いを何というか。,慶長の役,
79,日本の侵略に対して水軍を率いて戦った朝鮮の将軍とは誰か。,李舜臣,
80,李舜臣が導入し、日本の水軍を苦しめた兵器とは何か。,亀甲船,
81,石高１石とは米約何ｋｇを指すか。,１５０/１５０ｋｇ,
82,文禄の役の際に、日本の軍勢が占領した朝鮮の首都とはどこか。,漢城/ソウル,
83,信長や秀吉に仕え、茶の湯を広めた堺の商人とは誰か。,千利休,
84,信長や秀吉が中心となり、大名や豪商の権力や富が繁栄された文化を何というか。,桃山文化,
85,唐獅子図屏風などのふすま絵や屏風絵を描いた画家とは誰か。,狩野永徳,
86,桃山文化が生まれる中で、大名や豪商の間で交際の手段として用いられた芸能とは何か。,茶の湯,
87,出雲の阿国によって広められたといわれる芸能とは何か。,かぶき踊り/かぶきおどり,
88,かぶき踊りを世に広め歌舞伎の元を作ったとされる人物とは誰か。,出雲の阿国/阿国,
89,民衆の衣装として使われるようになった色鮮やかな衣服を何というか。,小袖,
90,一般民衆の衣服に麻に代わって用いられるようになった素材は何か。,木綿,
91,三味線に合わせて小唄や語りをする芸能を何というか。,浄瑠璃,
92,浄瑠璃を行う際に用いられる、琉球の三線を模した楽器とは何か。,三味線,
93,南蛮貿易の中で日本にも伝わった、凹凸のあるピースを組み合わせたりして大量に同じものを印刷する手段を何というか。,活版印刷/活版印刷術,
94,秀吉の死後、豊臣派の西軍と徳川派の東軍がぶつかった戦いを何というか。,関ヶ原の戦い,
95,関ヶ原の戦いの際に、実質上、西軍を率いた人物とは誰か。,石田三成,
96,関ヶ原の戦いの際に、東軍を率いた人物とは誰か。,徳川家康,
97,１６１４年と１５年の２度にわたる戦いで、豊臣家を滅ぼした戦いとは何か。,大坂の陣/大阪の陣,
98,江戸幕府において、幕府が直接支配する土地を何というか。,幕領,
99,石高がいくら以上を大名として藩を任せたか。,１万/１万石/１００００/１００００石,
100,家康の死後、家康を祀るために秀忠により建立された寺院とは何か。,日光東照宮,
101,大名のうち、関ヶ原の戦い以前より家康に付き従っていた者を何というか。,譜代/譜代大名,
102,大名のうち、関ヶ原の戦い以降に家康に付き従った者を何というか。,外様/外様大名,
103,大名のうち、徳川家の一族を何というか。,親藩,
104,各大名が、支配を任される範囲を何というか。,藩,
105,将軍を中心に幕府と藩によって国内の土地や人民を支配する仕組みを何というか。,幕藩体制,
106,幕府において、政治を中心となって行う役職を何というか。,老中,
107,幕府において、緊急時などに置かれる全権を任される役職を何というか。,大老,
108,幕府政治において、老中の補佐を行い、代替わりに備える役職を何というか。,若年寄,
109,幕府政治で、主に財政管理を行う役職を何というか。,勘定奉行,
110,江戸の町において、南北に置かれる、警察や裁判所の役割を担う役職を何というか。,町奉行,
111,幕府政治のいて、大名や役人の不正などの内部の監視を行う役職を何というか。,大目付,
112,江戸幕府において、朝廷や西日本の大名の監視を行う役職を何というか。,京都所司代,
113,江戸幕府において、西日本の軍事を統括する役職を何というか。,大阪城代,
114,１６１５年に定められた、大大名や役人たちが守らなければならないきまりを何というか。,武家諸法度,
115,武家諸法度に参勤交代の決まりを追加した人物は誰か。,徳川家光,
116,３代将軍家光の時代に武家諸法度に追加された決まりとは何か。,参勤交代,
